rank,Artist,Title,Image URL,Release Date,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_sec,time_signature,Preview URL
3913,JUJU,Because of You,https://i.scdn.co/image/ab67616d0000b273ce15422b46fe94645c7b53d9,2018-02-21,20,0.575,0.607,5,-5.111,1,0.033,0.574,0.00E+00,0.149,0.325,145.821,284227,284.227,4,https://p.scdn.co/mp3-preview/c21b26ecfa6d77deb5ba94ef7b937b59a1aae0e1?cid=133ab60d36dd449d94af25689ddde7ed
3914,Two Door Cinema Club,I Can Talk,https://i.scdn.co/image/ab67616d0000b273fc6eef9b111d87e57b4b10cc,2010-03-01,61,0.471,0.75,9,-4.864,0,0.196,3.13E-05,1.03E-01,0.271,0.652,162.944,175907,175.907,4,https://p.scdn.co/mp3-preview/c80315391471d86b9f44c3e02c50b69895cea981?cid=133ab60d36dd449d94af25689ddde7ed
3915,Mike Perry,Talk About It,https://i.scdn.co/image/ab67616d0000b27345b2e3d965a761d78dff6592,2017-03-03,62,0.677,0.594,2,-5.673,0,0.0319,0.0554,0.00E+00,0.182,0.524,123.973,164537,164.537,4,https://p.scdn.co/mp3-preview/367250c903e4095c1a54ef2a30c37354368ca767?cid=133ab60d36dd449d94af25689ddde7ed
3916,Weezer,Feels Like Summer,https://i.scdn.co/image/ab67616d0000b273f04ed0e9d5af8b1b5f011b2f,2017-10-27,56,0.53,0.867,11,-4.989,1,0.0504,0.02,2.48E-04,0.737,0.74,175.981,195893,195.893,4,https://p.scdn.co/mp3-preview/668f1b175dbcd039e4d0bba99d6d3fd657582064?cid=133ab60d36dd449d94af25689ddde7ed
3917,Pentatonix,Bohemian Rhapsody,https://i.scdn.co/image/ab67616d0000b2739729d686606e6be27346da30,2017-04-07,51,0.341,0.42,8,-6.567,1,0.0318,0.183,0.00E+00,0.0967,0.306,145.808,355733,355.733,4,https://p.scdn.co/mp3-preview/e79c38a6d220ce8676f40551988c1715888ed3c3?cid=133ab60d36dd449d94af25689ddde7ed
3918,Bonobo,No Reason,https://i.scdn.co/image/ab67616d0000b273d8a7ce661b4ba6a8d712ce23,2017-01-13,10,0.654,0.587,5,-12.338,0,0.0515,0.328,5.03E-01,0.104,0.157,121.011,448984,448.984,4,https://p.scdn.co/mp3-preview/33b4b5461539b44a561c46bd454e538521e01d44?cid=133ab60d36dd449d94af25689ddde7ed
3919,Grey,I Miss You,https://i.scdn.co/image/ab67616d0000b27331c5f66f7e3a57c7cd64939f,2017-01-13,35,0.697,0.767,4,-5.229,1,0.0949,0.368,0.00E+00,0.119,0.679,102.034,192320,192.32,4,
3920,Chocoholic,First Class,https://i.scdn.co/image/ab67616d0000b27351ca72fde841cf4520346fe4,2016-12-14,14,0.81,0.373,1,-11.433,1,0.186,0.00193,0.00E+00,0.124,0.652,77.511,181238,181.238,4,https://p.scdn.co/mp3-preview/59bdb95d5cee39aa0c743ef1256af30f2ffbf680?cid=133ab60d36dd449d94af25689ddde7ed
3921,Maroon 5,She Will Be Loved,https://i.scdn.co/image/ab67616d0000b27317b3850d758fff5a2301e537,2002-06-25,74,0.706,0.713,0,-5.512,0,0.0301,0.0596,0.00E+00,0.132,0.544,102.037,257133,257.133,4,
3922,Rihanna,Love On The Brain,https://i.scdn.co/image/ab67616d0000b27333c6b920eabcf4c00d7a1093,2016-01-28,87,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08E-05,0.0789,0.378,172.006,224000,224,3,
3923,Brian Eno,Reflection,https://i.scdn.co/image/ab67616d0000b273d0b7b3db48075f8346fd71a6,2017-04-01,28,0.105,0.0393,7,-29.477,0,0.0502,0.977,8.87E-01,0.0745,0.0308,73.052,3924548,3924.548,4,
3924,VAMPS,CALLING,https://i.scdn.co/image/ab67616d0000b273457386bbaa54693918d58537,2017-04-26,26,0.454,0.992,10,-2.78,0,0.179,3.96E-05,0.00E+00,0.238,0.213,101.985,173667,173.667,4,
3925,Fujifabric,Super!!,https://i.scdn.co/image/ab67616d0000b273b24e05a5e2fc3ffed97a069d,2016-12-14,20,0.427,0.857,4,-2.685,1,0.079,0.000922,1.26E-02,0.168,0.556,163.043,294720,294.72,4,https://p.scdn.co/mp3-preview/acff304d1b4d44978184685f193cdf2937789d45?cid=133ab60d36dd449d94af25689ddde7ed
3926,will.i.am,FIYAH,https://i.scdn.co/image/ab67616d0000b273769b06c0db1817e681ab9e56,2017-04-02,37,0.849,0.525,6,-7.212,0,0.0786,0.0807,1.18E-03,0.528,0.384,115.963,240813,240.813,4,
3927,Alabama Shakes,Don't Wanna Fight,https://i.scdn.co/image/ab67616d0000b273d5abe87cecc0f78512973a57,2015-01-04,26,0.541,0.897,11,-3.539,0,0.101,0.549,4.03E-03,0.0843,0.55,100.72,239867,239.867,4,https://p.scdn.co/mp3-preview/fe8f3d6d4d8f01ed69e06c1e0b8ab37a5b098e90?cid=133ab60d36dd449d94af25689ddde7ed
3928,Daymé Arocena,Mambo Na' Mà,https://i.scdn.co/image/ab67616d0000b273e5312f54e1329bdcda08e810,2017-03-10,1,0.669,0.634,1,-7.552,1,0.0439,0.363,5.98E-02,0.174,0.673,120.057,202329,202.329,4,https://p.scdn.co/mp3-preview/d2205147be162803550a57d66528b5d0fb685362?cid=133ab60d36dd449d94af25689ddde7ed
3929,BIGBANG,BANG BANG BANG,https://i.scdn.co/image/ab67616d0000b2738c22c6d1dba584d35206a9f6,2016-02-03,53,0.633,0.857,1,-3.006,1,0.0412,0.00983,0.00E+00,0.331,0.489,135.013,222213,222.213,4,https://p.scdn.co/mp3-preview/52e68fb845ac1e8b023465f511f0121416e9dd4a?cid=133ab60d36dd449d94af25689ddde7ed
